Subtotal,city,city_ascii,state_id,lat,lng
,Harding-Birch Lakes,Harding-Birch Lakes,AK,64.3711,-146.5999
,Healy,Healy,AK,63.9454,-149.0152
,Healy Lake,Healy Lake,AK,64.0281,-144.633
,Hollis,Hollis,AK,55.5113,-132.7023
,Holy Cross,Holy Cross,AK,62.1868,-159.8198
,Homer,Homer,AK,59.653,-151.5255
,Hoonah,Hoonah,AK,58.1118,-135.4246
,Hooper Bay,Hooper Bay,AK,61.5262,-166.1146
,Hope,Hope,AK,60.8925,-149.6352
,Houston,Houston,AK,61.6159,-149.8003
,Hughes,Hughes,AK,66.0452,-154.2376
,Huslia,Huslia,AK,65.7002,-156.3386
,Hydaburg,Hydaburg,AK,55.2061,-132.8208
,Hyder,Hyder,AK,55.9816,-130.0383
,Igiugig,Igiugig,AK,59.3056,-155.8738
,Iliamna,Iliamna,AK,59.7957,-154.8698
,Juneau,Juneau,AK,58.4546,-134.1739
,Kachemak,Kachemak,AK,59.6745,-151.4364
,Kake,Kake,AK,56.9727,-133.9145
,Kaktovik,Kaktovik,AK,70.123,-143.6262
,Kalifornsky,Kalifornsky,AK,60.4417,-151.1972
,Kaltag,Kaltag,AK,64.3223,-158.7436
,Karluk,Karluk,AK,57.5845,-154.3255
,Kasaan,Kasaan,AK,55.5573,-132.4137
,Kasigluk,Kasigluk,AK,60.8785,-162.5272
,Kasilof,Kasilof,AK,60.331,-151.2293
,Kenai,Kenai,AK,60.5619,-151.1985
,Kenny Lake,Kenny Lake,AK,61.6644,-144.8662
,Ketchikan,Ketchikan,AK,55.3556,-131.6698
,Kiana,Kiana,AK,66.9726,-160.4344
,King Cove,King Cove,AK,55.0858,-162.2978
,King Salmon,King Salmon,AK,58.753,-156.5061
,Kipnuk,Kipnuk,AK,59.9373,-164.0616
,Kivalina,Kivalina,AK,67.733,-164.5212
,Klawock,Klawock,AK,55.5556,-133.0868
,Klukwan,Klukwan,AK,59.3987,-135.8886
,Knik River,Knik River,AK,61.4606,-148.9155
,Knik-Fairview,Knik-Fairview,AK,61.4964,-149.6535
,Kobuk,Kobuk,AK,66.931,-156.8939
,Kodiak,Kodiak,AK,57.7934,-152.406
,Kodiak Station,Kodiak Station,AK,57.7451,-152.5443
,Kokhanok,Kokhanok,AK,59.4158,-154.7456
,Koliganek,Koliganek,AK,59.6971,-157.2258
,Kongiganak,Kongiganak,AK,59.958,-162.8831
,Kotlik,Kotlik,AK,63.0305,-163.553
,Kotzebue,Kotzebue,AK,66.8766,-162.5231
,Koyuk,Koyuk,AK,64.9411,-161.1454
,Koyukuk,Koyukuk,AK,64.9008,-157.6946
,Kupreanof,Kupreanof,AK,56.8089,-132.9889
,Kwethluk,Kwethluk,AK,60.7978,-161.4147
,Kwigillingok,Kwigillingok,AK,59.8767,-163.1717
,Lake Minchumina,Lake Minchumina,AK,63.798,-152.3448
,Larsen Bay,Larsen Bay,AK,57.5404,-154.0056
,Lazy Mountain,Lazy Mountain,AK,61.6516,-148.902
,Levelock,Levelock,AK,59.0683,-156.901
,Lime Village,Lime Village,AK,61.327,-155.3181
,Livengood,Livengood,AK,65.4817,-148.4171
,Lowell Point,Lowell Point,AK,60.0629,-149.4898
,Lower Kalskag,Lower Kalskag,AK,61.5163,-160.3556
,Lutak,Lutak,AK,59.3997,-135.6314
,Manley Hot Springs,Manley Hot Springs,AK,65.0187,-150.6453
,Manokotak,Manokotak,AK,58.893,-158.9109
,Marshall,Marshall,AK,61.8753,-162.0488
,McGrath,McGrath,AK,62.9424,-155.563
,Meadow Lakes,Meadow Lakes,AK,61.638,-149.608
,Mekoryuk,Mekoryuk,AK,60.3704,-166.267
,Mendeltna,Mendeltna,AK,62.1359,-146.5388
,Mentasta Lake,Mentasta Lake,AK,62.9867,-143.5191
,Metlakatla,Metlakatla,AK,55.1182,-131.5689
,Minto,Minto,AK,65.1033,-149.5565
,Moose Creek,Moose Creek,AK,64.714,-147.1639
,Moose Pass,Moose Pass,AK,60.4997,-149.4464
,Mosquito Lake,Mosquito Lake,AK,59.471,-136.1458
,Mountain Village,Mountain Village,AK,62.0911,-163.7209
,Mud Bay,Mud Bay,AK,59.1517,-135.3584
,Naknek,Naknek,AK,58.7847,-156.8967
,Nanwalek,Nanwalek,AK,59.3302,-151.911
,Napakiak,Napakiak,AK,60.6923,-161.9822
,Napaskiak,Napaskiak,AK,60.7018,-161.7616
,Naukati Bay,Naukati Bay,AK,55.8801,-133.1993
,Nelchina,Nelchina,AK,61.9989,-146.8112
,Nelson Lagoon,Nelson Lagoon,AK,55.8451,-161.6103
,Nenana,Nenana,AK,64.5384,-149.0859
,New Stuyahok,New Stuyahok,AK,59.4762,-157.271
,Newhalen,Newhalen,AK,59.727,-154.897
,Newtok,Newtok,AK,60.9341,-164.6385
,Nightmute,Nightmute,AK,60.4874,-164.8195
,Nikiski,Nikiski,AK,60.7152,-151.2317
,Nikolaevsk,Nikolaevsk,AK,59.8295,-151.5964
,Nikolai,Nikolai,AK,63.0095,-154.3763
,Nikolski,Nikolski,AK,53.0133,-168.7536
,Ninilchik,Ninilchik,AK,60.0745,-151.3843
,Noatak,Noatak,AK,67.5987,-163.0309
,Nome,Nome,AK,64.5213,-165.4053
,Nondalton,Nondalton,AK,59.9711,-154.8627
